Simulations,Pedestrian,Real X,Predicted X,SSE X,Real Y,Predicted Y,SSE Y
10,0,700,704.7836828,22.88362083,1076,1066.344176,93.23493772
10,1,734,737.5331534,12.48317278,1184,1189.947757,35.37580833
10,2,733,728.278732,22.2903715,1234,1242.904072,79.28250009
20,0,700,695.6859493,18.61103327,1076,1067.430025,73.44446786
20,1,734,741.137814,50.9483884,1184,1193.133661,83.42375544
20,2,733,732.5014508,0.248551336,1234,1246.721734,161.8425176
30,0,700,698.3607975,2.68698493,1076,1062.873841,172.2960416
30,1,734,732.8206072,1.39096729,1184,1195.311303,127.9455687
30,2,733,732.8725619,0.016240468,1234,1238.744,22.50553623
40,0,700,698.8989474,1.212316718,1076,1064.471632,132.9032716
40,1,734,734.2294398,0.052642634,1184,1190.397585,40.92909274
40,2,733,732.797503,0.041005052,1234,1243.529737,90.81587944
50,0,700,698.0888191,3.652612531,1076,1062.874266,172.2848943
50,1,734,732.6206152,1.902702366,1184,1190.320586,39.94980888
50,2,733,735.0660591,4.268600334,1234,1240.124688,37.5118033
60,0,700,700.6462581,0.417649508,1076,1064.838162,124.5866307
60,1,734,735.6990111,2.886638611,1184,1191.038711,49.54345683
60,2,733,736.3683736,11.34594052,1234,1249.125399,228.7776951
70,0,700,696.9091178,9.553552677,1076,1064.583692,130.3320827
70,1,734,735.1308635,1.278852365,1184,1190.129045,37.56519647
70,2,733,735.2262203,4.956056699,1234,1247.898338,193.163794
80,0,700,699.4862932,0.263894639,1076,1061.566,208.340363
80,1,734,734.9004446,0.810800499,1184,1191.172261,51.44133164
80,2,733,736.1548884,9.953320616,1234,1244.034785,100.6969196
90,0,700,697.1239976,8.271389755,1076,1062.768361,175.0762813
90,1,734,735.0970532,1.203525791,1184,1189.055171,25.55475186
90,2,733,734.5850795,2.512477048,1234,1248.517733,210.7645646
100,0,700,697.9185179,4.33256767,1076,1062.637358,178.5601911
100,1,734,733.5822439,0.174520144,1184,1188.765093,22.70610884
100,2,733,733.4309614,0.185727701,1234,1245.997217,143.9332258
110,0,700,698.8903604,1.231300095,1076,1063.603868,153.6640952
110,1,734,736.1323924,4.547097171,1184,1190.119066,37.44297275
110,2,733,734.005086,1.010197804,1234,1244.583946,112.0199234
120,0,700,699.8148614,0.034276306,1076,1062.621443,178.9857877
120,1,734,734.3133853,0.098210365,1184,1193.827529,96.5803344
120,2,733,734.6071216,2.582839788,1234,1244.265702,105.3846413
130,0,700,699.1520666,0.71899101,1076,1063.503272,156.1682094
130,1,734,736.3511824,5.528058767,1184,1189.545599,30.75367027
130,2,733,734.4547302,2.116240045,1234,1245.715998,137.2646102
140,0,700,697.9936687,4.025365165,1076,1064.047826,142.8544684
140,1,734,735.8067874,3.264480855,1184,1190.151002,37.83482392
140,2,733,734.4529449,2.11104877,1234,1246.533252,157.0824078
150,0,700,698.4153838,2.511008609,1076,1062.074218,193.9274132
150,1,734,734.8821862,0.778252507,1184,1192.788826,77.24346373
150,2,733,734.2531772,1.570453106,1234,1244.36809,107.4972983
160,0,700,698.3858731,2.605405556,1076,1062.711035,176.5965962
160,1,734,735.1839035,1.401627536,1184,1192.447592,71.36181375
160,2,733,733.7028461,0.493992613,1234,1243.67849,93.67316293
170,0,700,699.5022962,0.247709071,1076,1061.65568,205.7595193
170,1,734,734.8732783,0.762614939,1184,1190.422916,41.25384722
170,2,733,734.3323102,1.775050599,1234,1242.634487,74.55436839
180,0,700,698.4148058,2.512840546,1076,1062.900666,171.5925386
180,1,734,735.1343757,1.286808239,1184,1191.481216,55.96859346
180,2,733,735.1468083,4.608785783,1234,1247.429051,180.3394183
190,0,700,698.1943246,3.260463476,1076,1063.556292,154.8458802
190,1,734,736.0060874,4.024386524,1184,1191.44598,55.44262109
190,2,733,734.0470872,1.096391696,1234,1243.973477,99.47025017
200,0,700,698.4571368,2.380426906,1076,1063.618698,153.2966461
200,1,734,735.0459926,1.094100519,1184,1191.298567,53.26907397
200,2,733,732.9141117,0.007376797,1234,1243.179897,84.27051167
210,0,700,698.4303125,2.463918734,1076,1063.066999,167.2625112
210,1,734,733.886431,0.012897926,1184,1190.720077,45.15943217
210,2,733,734.5536299,2.413765735,1234,1247.028924,169.7528552
220,0,700,700.1990405,0.039617121,1076,1064.699625,127.6984753
220,1,734,734.4829218,0.233213482,1184,1191.119686,50.68992245
220,2,733,734.9496913,3.801296141,1234,1248.117597,199.306555
230,0,700,697.957182,4.173105393,1076,1062.999549,169.0117301
